species_name,season,region_pt,observation_count
Hypomyces,autumn,sul,2
Hypomyces,winter,sul,1
Hypomyces ochraceus,autumn,sul,1
Hypomyces tubariicola,winter,sul,1
Hypsizygus tessulatus,autumn,norte,1
Hypsizygus ulmarius,autumn,norte,2
Hypsizygus ulmarius,autumn,sul,5
Hypsizygus ulmarius,summer,sul,1
Hypsizygus ulmarius,winter,sul,2
Infundibulicybe,autumn,norte,1
Infundibulicybe geotropa,autumn,norte,1
Infundibulicybe squamulosa,autumn,sul,1
Infundibulicybe squamulosa,winter,sul,1
Inocybaceae,autumn,norte,1
Inocybaceae,winter,sul,1
Inocybe,winter,sul,1
Inonotus obliquus,winter,norte,3
Ionopezia gerardii,winter,sul,1
Julella vitrispora,spring,sul,1
Laccaria,autumn,sul,1
Laccaria,winter,sul,5
Laccaria amethystina,winter,sul,1
Laccaria laccata,winter,sul,2
Lacrymaria lacrymabunda,spring,sul,1
Lacrymaria lacrymabunda,winter,sul,1
Lactarius,winter,sul,1
Lactarius chrysorrheus,winter,sul,1
Lactarius deliciosus,autumn,norte,615
Lactarius deliciosus,autumn,sul,245
Lactarius deliciosus,spring,norte,2
Lactarius deliciosus,spring,sul,4
Lactarius deliciosus,summer,norte,21
Lactarius deliciosus,summer,sul,2
Lactarius deliciosus,unknown,norte,7
Lactarius deliciosus,unknown,sul,6
Lactarius deliciosus,winter,norte,154
Lactarius deliciosus,winter,sul,264
Lactarius tesquorum,winter,sul,1
Lactarius uvidus,winter,sul,1
Lactifluus vellereus,autumn,norte,1
Lactocollybia epia,autumn,sul,1
Laetiporus sulphureus,autumn,norte,428
Laetiporus sulphureus,autumn,sul,441
Laetiporus sulphureus,spring,norte,78
Laetiporus sulphureus,spring,sul,4
Laetiporus sulphureus,summer,norte,333
Laetiporus sulphureus,summer,sul,91
Laetiporus sulphureus,unknown,norte,8
Laetiporus sulphureus,unknown,sul,6
Laetiporus sulphureus,winter,norte,17
Laetiporus sulphureus,winter,sul,14
Lanmaoa fragrans,autumn,sul,2
Lecanoromycetes,winter,norte,1
Leccinellum corsicum,winter,sul,1
Leccinellum lepidum,winter,sul,1
Lentinula edodes,autumn,norte,4
Lentinula edodes,spring,norte,4
Lentinula edodes,summer,norte,1
Lentinula edodes,winter,norte,2
Lentinus,spring,sul,1
Lentinus tigrinus,autumn,norte,1
Lepiota,autumn,norte,1
Lepiota,autumn,sul,1
Lepiota,winter,sul,1
Lepiota cristata,summer,norte,1
Lepiota rubella,autumn,sul,1
Leratiomyces,spring,sul,1
Leratiomyces ceres,winter,norte,1
Leratiomyces ceres,winter,sul,3
Leucocalocybe,winter,sul,1
Leucocoprinus cepistipes,autumn,norte,36
Leucocoprinus cepistipes,autumn,sul,14
Leucocoprinus cepistipes,spring,norte,3
Leucocoprinus cepistipes,spring,sul,2
Leucocoprinus cepistipes,summer,norte,4
Leucocoprinus cepistipes,unknown,norte,1
Leucocoprinus cepistipes,unknown,sul,2
Leucocoprinus cepistipes,winter,sul,1
Leucocoprinus cretaceus,autumn,norte,12
Leucocoprinus cretaceus,autumn,sul,19
Leucocoprinus cretaceus,spring,sul,1
Leucocoprinus cretaceus,summer,norte,1
Leucocoprinus cretaceus,summer,sul,1
Leucocoprinus cretaceus,unknown,norte,1
Leucocoprinus cretaceus,unknown,sul,1
Lichenomphalia hudsoniana,summer,norte,1
Lichenomphalia velutina,winter,sul,1
Limacellopsis guttata,autumn,sul,1
Lycoperdaceae,autumn,sul,2
Lycoperdaceae,spring,sul,1
Lycoperdaceae,summer,norte,3
Lycoperdaceae,summer,sul,1
Lycoperdon,winter,sul,2
Lycoperdon excipuliforme,winter,sul,1
Lycoperdon molle,winter,sul,1
Lycoperdon perlatum,autumn,norte,1
Lycoperdon perlatum,autumn,sul,1
Lycoperdon perlatum,winter,sul,3
Lyophyllum,winter,sul,1
Lyophyllum decastes,autumn,norte,59
Lyophyllum decastes,autumn,sul,31
Lyophyllum decastes,spring,norte,6
Lyophyllum decastes,spring,sul,15
Lyophyllum decastes,summer,norte,2
Lyophyllum decastes,unknown,sul,1
Lyophyllum decastes,winter,norte,26
Lyophyllum decastes,winter,sul,38
Macrocystidia,winter,sul,1
Macrolepiota,autumn,norte,1
Macrolepiota procera,autumn,norte,6
Macrolepiota procera,autumn,sul,1
Macrolepiota procera,winter,sul,1
Magnoliopsida,summer,sul,1
Mannia androgyna,winter,sul,1
Marasmius,autumn,norte,69
Marasmius,autumn,sul,43
Marasmius,spring,norte,8
Marasmius,spring,sul,3
Marasmius,summer,norte,24
Marasmius,summer,sul,1
Marasmius,unknown,norte,1
Marasmius,winter,norte,15
Marasmius,winter,sul,24
Marasmius bulliardii,winter,sul,1
Marasmius collinus,autumn,sul,1
Marasmius oreades,autumn,norte,508
Marasmius oreades,autumn,sul,222
Marasmius oreades,spring,norte,141
Marasmius oreades,spring,sul,30
Marasmius oreades,summer,norte,71
Marasmius oreades,summer,sul,5
Marasmius oreades,unknown,norte,6
Marasmius oreades,unknown,sul,8
Marasmius oreades,winter,norte,70
Marasmius oreades,winter,sul,68
Marchantia quadrata,autumn,norte,9
Marchantia quadrata,spring,norte,16
Marchantia quadrata,spring,sul,4
Marchantia quadrata,summer,norte,32
Marchantia quadrata,summer,sul,4
Marchantia quadrata,winter,norte,5
Marchantia quadrata,winter,sul,1
Megacollybia platyphylla,autumn,norte,96
Megacollybia platyphylla,autumn,sul,20
Megacollybia platyphylla,spring,norte,12
Megacollybia platyphylla,summer,norte,71
Megacollybia platyphylla,unknown,norte,1
Megacollybia platyphylla,winter,norte,11
Megacollybia platyphylla,winter,sul,6
Melanoleuca decembris,winter,sul,1
Mesophyllum lichenoides,autumn,sul,1
Micacei,winter,sul,1
Montagnea radiosa,summer,sul,1
Morchella,autumn,sul,2
Morchella,spring,norte,60
Morchella,spring,sul,14
Morchella,summer,norte,5
Morchella,unknown,norte,4
Morchella,unknown,sul,1
Morchella,winter,norte,1
Morchella,winter,sul,3
Mutinus elegans,autumn,norte,1
Mycena,autumn,norte,1
Mycena,autumn,sul,2
Mycena,winter,sul,3
Mycena chlorinosma,autumn,sul,1
Mycena haematopus,autumn,sul,1
Mycena pseudocorticola,winter,norte,1
Mycena rosea,autumn,sul,1
Mycena tenerrima,winter,norte,1
Mycenaceae,autumn,sul,1
Naematelia aurantia,autumn,sul,1
Naucoria,autumn,norte,1
Neoboletus erythropus,summer,norte,1
Omphalotus,autumn,norte,32
Omphalotus,autumn,sul,180
Omphalotus,spring,sul,1
Omphalotus,summer,norte,4
Omphalotus,summer,sul,3
Omphalotus,unknown,norte,1
Omphalotus,unknown,sul,2
Omphalotus,winter,norte,1
Omphalotus,winter,sul,34
Omphalotus illudens,autumn,norte,6
Omphalotus illudens,summer,norte,19
Omphalotus olearius,autumn,norte,118
Omphalotus olearius,autumn,sul,577
Omphalotus olearius,spring,sul,3
Omphalotus olearius,summer,norte,1
Omphalotus olearius,summer,sul,2
Omphalotus olearius,unknown,norte,2
Omphalotus olearius,unknown,sul,9
Omphalotus olearius,winter,norte,21
Omphalotus olearius,winter,sul,172
Omphalotus subilludens,unknown,sul,1
Onnia tomentosa,summer,sul,1
Oudemansiella mucida,autumn,norte,347
Oudemansiella mucida,spring,norte,4
Oudemansiella mucida,summer,norte,43
Oudemansiella mucida,unknown,norte,1
Oudemansiella mucida,winter,norte,3
Oudemansiella radicata,autumn,norte,78
Oudemansiella radicata,autumn,sul,7
Oudemansiella radicata,spring,norte,4
Oudemansiella radicata,summer,norte,85
Oudemansiella radicata,winter,norte,3
Oudemansiella radicata,winter,sul,2
Panaeolus,summer,norte,1
Panaeolus antillarum,autumn,norte,1
Panaeolus foenisecii,autumn,norte,45
Panaeolus foenisecii,autumn,sul,41
Panaeolus foenisecii,spring,norte,35
Panaeolus foenisecii,spring,sul,31
Panaeolus foenisecii,summer,norte,22
Panaeolus foenisecii,summer,sul,12
Panaeolus foenisecii,unknown,norte,1
Panaeolus foenisecii,unknown,sul,1
Panaeolus foenisecii,winter,norte,10
Panaeolus foenisecii,winter,sul,21
Panellus,autumn,norte,1
Panus lecomtei,autumn,norte,4
Panus lecomtei,autumn,sul,6
Panus lecomtei,spring,norte,18
Panus lecomtei,spring,sul,35
Panus lecomtei,summer,norte,37
Panus lecomtei,summer,sul,2
Panus lecomtei,unknown,sul,1
Panus lecomtei,winter,norte,7
Panus lecomtei,winter,sul,17
Paragalactinia succosella,autumn,sul,1
Paralepista flaccida,winter,sul,2
Parasola conopilea,winter,sul,2
Paxillus ammoniavirescens,autumn,norte,1
Pertusaria werneriana,summer,sul,1
Peyssonnelia,spring,norte,1
Pezizales,autumn,sul,1
Phaeoclavulina abietina,autumn,norte,11
Phaeoclavulina abietina,autumn,sul,7
Phaeoclavulina abietina,winter,norte,2
Phaeoclavulina abietina,winter,sul,3
Phallus impudicus,autumn,norte,324
Phallus impudicus,autumn,sul,145
Phallus impudicus,spring,norte,23
Phallus impudicus,spring,sul,9
Phallus impudicus,summer,norte,210
Phallus impudicus,summer,sul,5
Phallus impudicus,unknown,norte,5
Phallus impudicus,unknown,sul,3
Phallus impudicus,winter,norte,106
Phallus impudicus,winter,sul,311
Pholiota,winter,sul,1
Pholiota adiposa,autumn,norte,6
Pholiota adiposa,autumn,sul,1
Pholiota adiposa,spring,sul,1
Pholiota adiposa,summer,norte,1
Pholiota adiposa,winter,norte,1
Pholiota adiposa,winter,sul,1
Pholiota highlandensis,winter,sul,1
Pholiota spumosa,autumn,sul,1
Phyllotopsis nidulans,autumn,norte,21
Phyllotopsis nidulans,spring,norte,5
Phyllotopsis nidulans,spring,sul,1
Phyllotopsis nidulans,summer,norte,2
Phyllotopsis nidulans,unknown,norte,1
Phyllotopsis nidulans,winter,norte,9
Physalacriaceae,autumn,norte,1
Pisolithus,winter,sul,2
Pisolithus arhizus,winter,sul,1
Pleurotus,autumn,norte,108
Pleurotus,autumn,sul,33
Pleurotus,spring,norte,15
Pleurotus,spring,sul,9
Pleurotus,summer,norte,15
Pleurotus,summer,sul,3
Pleurotus,unknown,norte,4
Pleurotus,winter,norte,29
Pleurotus,winter,sul,34
Pleurotus citrinopileatus,spring,norte,1
Pleurotus citrinopileatus,summer,norte,2
Pleurotus citrinopileatus,summer,sul,1
Pleurotus djamor,summer,norte,2
Pleurotus eryngii,autumn,norte,178
Pleurotus eryngii,autumn,sul,66
Pleurotus eryngii,spring,norte,40
Pleurotus eryngii,spring,sul,25
Pleurotus eryngii,summer,norte,6
Pleurotus eryngii,summer,sul,2
Pleurotus eryngii,winter,norte,48
Pleurotus eryngii,winter,sul,37
Pleurotus ostreatus,autumn,norte,210
Pleurotus ostreatus,autumn,sul,82
Pleurotus ostreatus,spring,norte,21
Pleurotus ostreatus,spring,sul,4
Pleurotus ostreatus,summer,norte,22
Pleurotus ostreatus,summer,sul,5
Pleurotus ostreatus,unknown,norte,2
Pleurotus ostreatus,winter,norte,88
Pleurotus ostreatus,winter,sul,73
Pleurotus populinus,autumn,norte,5
Pleurotus populinus,autumn,sul,2
Pleurotus populinus,summer,norte,1
Pleurotus populinus,unknown,sul,1
Pleurotus populinus,winter,norte,1
Pleurotus populinus,winter,sul,6
Pluteaceae,winter,sul,1
Pluteus,autumn,norte,97
Pluteus,autumn,sul,56
Pluteus,spring,norte,22
Pluteus,spring,sul,21
Pluteus,summer,norte,23
Pluteus,summer,sul,4
Pluteus,unknown,norte,1
Pluteus,winter,norte,33
Pluteus,winter,sul,50
Pluteus atromarginatus,autumn,sul,1
Pluteus cervinus,autumn,norte,115
Pluteus cervinus,autumn,sul,28
Pluteus cervinus,spring,norte,61
Pluteus cervinus,spring,sul,12
Pluteus cervinus,summer,norte,46
Pluteus cervinus,unknown,norte,6
Pluteus cervinus,winter,norte,75
Pluteus cervinus,winter,sul,45
Pluteus chrysophlebius,spring,norte,1
Pluteus chrysophlebius,unknown,norte,1
Pluteus exilis,autumn,norte,3
Pluteus exilis,autumn,sul,1
Pluteus exilis,spring,norte,2
Pluteus exilis,winter,norte,2
Pluteus exilis,winter,sul,3
Pluteus salicinus,autumn,sul,1
Polyporaceae,unknown,sul,1
Polyporales,autumn,norte,1
Polyporales,autumn,sul,3
Protostropharia semiglobata,spring,norte,1
Psathyrella,summer,sul,1
Psathyrella,winter,sul,4
Psathyrella ammophila,spring,norte,1
Psathyrellaceae,autumn,norte,3
Psathyrellaceae,autumn,sul,1
Psathyrellaceae,summer,sul,2
Psathyrellaceae,winter,sul,1
Pseudoclitocybe cyathiformis,winter,sul,1
Psilocybe,autumn,norte,19
Psilocybe,autumn,sul,2
Psilocybe,winter,sul,3
Psilocybe cubensis,autumn,norte,2
Psilocybe cubensis,spring,sul,2
Psilocybe cubensis,summer,sul,1
Psilocybe cubensis,winter,norte,1
Psilocybe cubensis,winter,sul,1
Psilocybe gallaeciae,autumn,norte,8
Psilocybe semilanceata,autumn,norte,134
Psilocybe semilanceata,autumn,sul,4
Psilocybe semilanceata,spring,norte,2
Psilocybe semilanceata,summer,norte,4
Psilocybe semilanceata,winter,norte,12
Psilocybe semilanceata,winter,sul,1
Rhizocarpon geographicum,summer,sul,1
Rinodina oxydata,summer,sul,1
Roridomyces appendiculatus,autumn,sul,1
Russula,autumn,norte,2
Russula,spring,sul,2
Russula,winter,norte,1
Russula,winter,sul,6
Russula adusta,autumn,sul,1
Russula atropurpurea,autumn,sul,1
Russula torulosa,winter,sul,1
Russulaceae,autumn,sul,1
Russulales,summer,sul,1
Sarcomyxa serotina,autumn,norte,11
Sarcomyxa serotina,winter,norte,3
Sarcoscypha,spring,norte,1
Schizophyllum commune,autumn,norte,242
Schizophyllum commune,autumn,sul,293
Schizophyllum commune,spring,norte,304
Schizophyllum commune,spring,sul,453
Schizophyllum commune,summer,norte,104
Schizophyllum commune,summer,sul,98
Schizophyllum commune,unknown,norte,4
Schizophyllum commune,unknown,sul,4
Schizophyllum commune,winter,norte,370
Schizophyllum commune,winter,sul,714
Scleroderma,autumn,sul,1
Scleroderma meridionale,winter,sul,1
Scleroderma polyrhizum,autumn,sul,1
Scleroderma polyrhizum,winter,sul,1
Sclerodermataceae,winter,sul,1
Sparassis,autumn,norte,40
Sparassis,autumn,sul,10
Sparassis,summer,norte,6
Sparassis,winter,norte,8
Sparassis,winter,sul,2
Sparassis crispa,autumn,norte,1
Sparassis spathulata,unknown,norte,1
Sphaerobolus stellatus,autumn,sul,1
Stereaceae,winter,sul,1
Stereum,summer,norte,1
Stereum,winter,sul,1
Stereum hirsutum,spring,sul,1
Stereum hirsutum,winter,sul,1
Stropharia,autumn,norte,1
Strophariaceae,winter,sul,1
Subniveae,autumn,sul,1
Suillellus luridus,winter,sul,1
Suillellus queletii,autumn,sul,2
Suillus,autumn,norte,1
Suillus bovinus,autumn,norte,225
Suillus bovinus,autumn,sul,30
Suillus bovinus,spring,norte,16
Suillus bovinus,spring,sul,7
Suillus bovinus,summer,norte,3
Suillus bovinus,unknown,norte,2
Suillus bovinus,winter,norte,116
Suillus bovinus,winter,sul,47
Suillus collinitus,autumn,norte,1
Suillus collinitus,autumn,sul,3
Suillus collinitus,spring,sul,1
Tapinella atrotomentosa,unknown,norte,1
Terana coerulea,winter,sul,1
Trametes,autumn,norte,1
Trametes,winter,sul,1
Trametes versicolor,autumn,norte,539
Trametes versicolor,autumn,sul,169
Trametes versicolor,spring,norte,305
Trametes versicolor,spring,sul,141
Trametes versicolor,summer,norte,152
Trametes versicolor,summer,sul,41
Trametes versicolor,unknown,norte,9
Trametes versicolor,unknown,sul,9
Trametes versicolor,winter,norte,451
Trametes versicolor,winter,sul,287
Trichaptum,autumn,sul,1
Trichaptum biforme,autumn,sul,1
Tricholoma,autumn,norte,1
Tricholoma equestre,autumn,norte,1
Tricholoma sulphureum,winter,sul,2
Tubaria,winter,sul,3
Tubaria furfuracea,winter,sul,1
Umbilicaria crustulosa,summer,norte,1
Usnea,summer,norte,1
Usnea florida,winter,norte,1
Vaginatae,spring,sul,1
Vibrissea truncorum,autumn,sul,1
Vibrissea truncorum,spring,norte,5
Vibrissea truncorum,summer,norte,7
Volvariella bombycina,winter,sul,1
Volvariella volvacea,spring,norte,2
Volvariella volvacea,winter,sul,1
Volvopluteus,winter,sul,2
Volvopluteus gloiocephalus,autumn,norte,634
Volvopluteus gloiocephalus,autumn,sul,928
Volvopluteus gloiocephalus,spring,norte,29
Volvopluteus gloiocephalus,spring,sul,31
Volvopluteus gloiocephalus,summer,norte,12
Volvopluteus gloiocephalus,summer,sul,6
Volvopluteus gloiocephalus,unknown,norte,4
Volvopluteus gloiocephalus,unknown,sul,8
Volvopluteus gloiocephalus,winter,norte,237
Volvopluteus gloiocephalus,winter,sul,1121
Xerocomus,autumn,sul,1
Xylodon flaviporus,winter,sul,1
